"yr_built","average_house_price"
"1933","772050.0"
"2015","759785.16"
"1905","752977.99"
"2001","741030.8"
"1909","696135.16"
"2014","683681.75"
"2000","681789.17"
"2013","678545.45"
"1907","676257.25"
"1902","673007.41"
"1910","671536.31"
"1906","669799.4"
"1931","661617.21"
"1927","653921.6"
"1937","648540.37"
"1936","642135.0"
"2008","641903.79"
"1999","640290.23"
"1996","639534.25"
"1911","632488.36"
"2006","630880.07"
"1991","630440.92"
"1926","625315.6"
"1928","621713.85"
"1923","618475.2"
"1914","615153.48"
"2007","615004.56"
"1921","613204.47"
"1912","612990.7"
"1925","607219.39"
"1997","606058.07"
"1916","600915.04"
"1930","600437.09"
"2004","595998.75"
"1998","594158.81"
"1939","585723.88"
"1913","585683.22"
"1915","584896.3"
"1988","583860.03"
"1904","583756.64"
"1989","582961.68"
"1900","581387.21"
"2005","580811.29"
"2002","578638.75"
"1995","577771.04"
"1940","576119.49"
"1929","574335.44"
"1924","570391.15"
"1922","569688.88"
"1908","564348.69"
"1990","563966.01"
"1982","561878.48"
"2003","558694.26"
"1901","556935.93"
"1993","556611.94"
"1984","555725.54"
"2010","551628.66"
"1938","548788.75"
"1992","548169.31"
"1951","545029.46"
"2011","544522.0"
"1935","542167.29"
"1973","541463.01"
"1919","537779.6"
"1952","530437.35"
"1972","528451.91"
"1917","528108.93"
"2012","527447.34"
"1941","526612.01"
"1976","526279.28"
"1946","524640.52"
"2009","518442.62"
"1987","517553.96"
"1934","516771.43"
"1964","514241.51"
"1985","511770.19"
"1975","507232.92"
"1983","505410.5"
"1974","503875.85"
"1965","496514.31"
"1977","495457.3"
"1963","493075.55"
"1918","492246.88"
"1980","491723.05"
"1950","490506.18"
"1953","490422.51"
"1994","486833.52"
"1979","486005.98"
"1957","484720.07"
"1903","480958.2"
"1920","477804.4"
"1986","476953.49"
"1958","474103.57"
"1949","473285.96"
"1978","472299.19"
"1981","471189.33"
"1956","470293.87"
"1932","458409.47"
"1968","457971.09"
"1954","453673.92"
"1960","453176.47"
"1955","450725.03"
"1947","450098.37"
"1959","449206.89"
"1945","447471.47"
"1966","446729.95"
"1967","444026.75"
"1971","441878.42"
"1970","439783.88"
"1962","436715.31"
"1948","433351.39"
"1961","432213.07"
"1969","425408.59"
"1942","379290.5"
"1944","356322.08"
"1943","333373.47"
,
